transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
1269,01-01-2022,08:09:00,71,Male,25,Clothing,4,500,145,2000
1366,01-01-2022,11:34:00,25,Male,57,Clothing,2,50,23.5,100
958,01-01-2022,21:14:00,116,Male,62,Electronics,2,25,11,50
420,02-01-2022,10:53:00,28,Female,22,Clothing,4,500,200,2000
189,02-01-2022,09:44:00,143,Male,63,Beauty,1,50,14.5,50
1379,02-01-2022,06:23:00,69,Female,47,Clothing,1,25,7.25,25
449,03-01-2022,18:28:00,58,Male,25,Electronics,4,50,26.5,200
766,04-01-2022,08:02:00,128,Male,38,Electronics,3,300,165,900
1128,04-01-2022,17:35:00,60,Male,25,Beauty,1,500,135,500
306,04-01-2022,22:05:00,148,Male,54,Electronics,1,50,26.5,50
415,05-01-2022,09:59:00,85,Male,53,Clothing,2,30,8.1,60
940,05-01-2022,08:11:00,46,Female,20,Electronics,1,30,9.6,30
936,05-01-2022,10:51:00,143,Male,57,Beauty,4,50,19.5,200
1180,06-01-2022,08:53:00,85,Male,41,Clothing,3,300,129,900
53,06-01-2022,17:57:00,32,Male,34,Electronics,2,50,22,100
686,06-01-2022,17:14:00,68,Female,28,Electronics,4,50,23.5,200
1438,07-01-2022,10:00:00,72,Female,42,Clothing,1,30,13.8,30
1519,08-01-2022,07:35:00,139,Female,36,Electronics,4,30,9.3,120
101,08-01-2022,08:46:00,24,Male,32,Clothing,2,300,135,600
300,08-01-2022,09:41:00,138,Female,19,Electronics,4,50,26.5,200
825,08-01-2022,17:27:00,51,Female,46,Beauty,1,25,27.25,25
256,09-01-2022,08:05:00,3,Male,23,Clothing,2,500,270,1000
1506,09-01-2022,07:31:00,52,Male,34,Beauty,3,500,245,1500
1054,10-01-2022,09:24:00,49,Female,38,Electronics,3,500,140,1500
1008,10-01-2022,08:51:00,116,Male,30,Electronics,4,25,13,100
1933,12-01-2022,11:04:00,121,Male,22,Beauty,1,30,14.4,30
1135,14-01-2022,08:16:00,124,Male,20,Clothing,2,25,12.5,50
73,14-01-2022,21:47:00,42,Male,29,Electronics,3,30,9,90
223,15-01-2022,11:18:00,61,Female,64,Clothing,1,25,12,25
1433,16-01-2022,11:41:00,113,Male,29,Beauty,4,50,15.5,200
955,16-01-2022,17:57:00,16,Male,58,Clothing,1,25,12.5,25
1421,17-01-2022,07:07:00,59,Female,37,Clothing,3,500,185,1500
874,17-01-2022,18:14:00,90,Male,60,Beauty,1,30,12.6,30
1271,19-01-2022,19:31:00,27,Female,62,Beauty,4,30,9,120
1750,20-01-2022,10:10:00,138,Female,35,Clothing,3,25,7.25,75
1224,20-01-2022,17:10:00,103,Female,25,Clothing,1,50,20,50
323,21-01-2022,08:22:00,97,Female,29,Beauty,3,300,150,900
1900,21-01-2022,06:43:00,65,Male,21,Clothing,2,30,10.8,60
158,21-01-2022,11:38:00,141,Female,44,Electronics,2,300,132,600
1446,23-01-2022,18:55:00,155,Male,21,Electronics,1,50,23.5,50
669,23-01-2022,20:24:00,110,Male,24,Beauty,4,300,87,1200
848,24-01-2022,10:46:00,15,Female,63,Clothing,3,25,9.75,75
